ID,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
27,IndiGo,01-06-2019,Delhi,Cochin,DEL _ LKO _ COK,21:50,02-06-2019 03:35,5h 45m,1 stop,No info,8238
28,GoAir,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,12:55,5h 55m,1 stop,No info,7682
29,Vistara,18-06-2019,Banglore,Delhi,BLR _ DEL,09:45,12:35,2h 50m,non-stop,No info,4668
30,Vistara,15-06-2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687
31,Vistara,18-06-2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687
32,Air India,01-05-2019,Kolkata,Banglore,CCU _ GAU _ DEL _ BLR,09:50,23:15,13h 25m,2 stops,No info,13227
33,IndiGo,06-04-2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,4423
34,Jet Airways,15-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,14:35,16-06-2019 12:35,22h,2 stops,In-flight meal not included,10919
35,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373
36,IndiGo,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,21:00,10h 25m,1 stop,No info,5894
37,SpiceJet,21-05-2019,Kolkata,Banglore,CCU _ MAA _ BLR,15:05,20:20,5h 15m,1 stop,No info,4649
38,Air India,18-05-2019,Kolkata,Banglore,CCU _ BLR,14:15,16:45,2h 30m,non-stop,No info,6245
39,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,07:00,13:15,6h 15m,1 stop,No info,19225
40,Jet Airways,03-06-2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,19:00,11h 55m,1 stop,No info,14924
41,Multiple carriers,21-05-2019,Delhi,Cochin,DEL _ HYD _ COK,07:05,18:10,11h 5m,1 stop,No info,9646
42,Air India,15-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,06:45,15:15,8h 30m,1 stop,No info,8714
43,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,19-05-2019 19:00,22h 5m,1 stop,In-flight meal not included,12373
44,Air Asia,06-05-2019,Banglore,Delhi,BLR _ DEL,11:10,13:55,2h 45m,non-stop,No info,3383
45,Multiple carriers,21-03-2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,21:00,12h,1 stop,No info,13062
46,SpiceJet,24-03-2019,Banglore,New Delhi,BLR _ DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527
47,IndiGo,27-05-2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943
48,Air India,03-05-2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4667
49,Air India,15-05-2019,Kolkata,Banglore,CCU _ HYD _ BLR,19:00,16-05-2019 11:05,16h 5m,1 stop,No info,6117
50,Jet Airways,27-06-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,28-06-2019 19:00,19h 55m,2 stops,In-flight meal not included,11150
51,Jet Airways,09-03-2019,Delhi,Cochin,DEL _ COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
52,Jet Airways,01-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,02-05-2019 10:55,25h 20m,1 stop,No info,12121
53,IndiGo,24-03-2019,Banglore,New Delhi,BLR _ DEL,22:20,28-03-2019 01:10,2h 50m,non-stop,No info,4377
54,IndiGo,18-06-2019,Banglore,Delhi,BLR _ DEL,21:15,19-06-2019 00:15,3h,non-stop,No info,3943
55,Air Asia,03-04-2019,Banglore,Delhi,BLR _ DEL,23:55,04-04-2019 02:45,2h 50m,non-stop,No info,4483
56,Jet Airways,24-03-2019,Kolkata,Banglore,CCU _ BOM _ BLR,19:45,25-03-2019 12:00,16h 15m,1 stop,No info,14231
57,Air India,01-03-2019,Banglore,New Delhi,BLR _ BOM _ AMD _ DEL,08:50,23:55,15h 5m,2 stops,No info,17345
58,Vistara,06-03-2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,7414
59,Multiple carriers,06-05-2019,Delhi,Cochin,DEL _ BOM _ COK,19:00,07-05-2019 01:30,6h 30m,1 stop,No info,8073
60,Vistara,06-03-2019,Mumbai,Hyderabad,BOM _ DEL _ HYD,15:40,07-03-2019 16:45,25h 5m,1 stop,No info,12395
61,Air India,06-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,09:25,21:50,12h 25m,1 stop,No info,8366
62,Air India,03-04-2019,Delhi,Cochin,DEL _ MAA _ COK,06:05,04-04-2019 09:25,27h 20m,1 stop,No info,5117
63,Multiple carriers,03-06-2019,Delhi,Cochin,DEL _ BOM _ COK,08:45,19:00,10h 15m,1 stop,No info,12524
64,IndiGo,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,15:00,16-05-2019 01:30,10h 30m,1 stop,No info,7191
65,Vistara,24-05-2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687
66,IndiGo,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,21:00,10h 25m,1 stop,No info,5894
67,Vistara,24-04-2019,Banglore,Delhi,BLR _ DEL,09:45,12:35,2h 50m,non-stop,No info,5403
68,Air India,06-05-2019,Mumbai,Hyderabad,BOM _ HYD,13:55,15:25,1h 30m,non-stop,No info,3625
69,Air India,21-05-2019,Delhi,Cochin,DEL _ BHO _ BOM _ COK,05:55,19:15,13h 20m,2 stops,No info,10861
70,IndiGo,12-03-2019,Chennai,Kolkata,MAA _ CCU,13:20,15:35,2h 15m,non-stop,No info,6297
71,Jet Airways,01-06-2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info,5678
72,Jet Airways,09-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,05:45,13-03-2019 08:15,26h 30m,1 stop,In-flight meal not included,9134
73,Multiple carriers,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791
74,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,25-06-2019 12:35,13h 30m,2 stops,No info,12819
75,IndiGo,21-03-2019,Delhi,Cochin,DEL _ BLR _ COK,05:05,10:05,5h,1 stop,No info,6893
76,Vistara,09-03-2019,Banglore,New Delhi,BLR _ DEL,09:50,12:35,2h 45m,non-stop,No info,7240
77,GoAir,03-04-2019,Banglore,Delhi,BLR _ DEL,11:40,14:30,2h 50m,non-stop,No info,3898
78,IndiGo,03-04-2019,Mumbai,Hyderabad,BOM _ HYD,06:25,07:55,1h 30m,non-stop,No info,4049
79,Jet Airways,15-06-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,16-06-2019 12:35,19h 5m,1 stop,In-flight meal not included,10262
80,SpiceJet,21-03-2019,Chennai,Kolkata,MAA _ CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332
81,Jet Airways,09-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,10-06-2019 12:00,14h 50m,1 stop,In-flight meal not included,10844
82,Jet Airways,24-03-2019,Banglore,New Delhi,BLR _ DEL,19:55,22:35,2h 40m,non-stop,No info,7229
83,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,07-05-2019 04:40,22h 10m,1 stop,No info,13941
84,IndiGo,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,11:25,21:00,9h 35m,1 stop,No info,5894
85,Multiple carriers,18-05-2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,19:00,10h,1 stop,No info,10197
86,Jet Airways,06-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,14:05,07-03-2019 11:25,21h 20m,1 stop,In-flight meal not included,13712
87,IndiGo,24-06-2019,Delhi,Cochin,DEL _ MAA _ COK,02:00,07:25,5h 25m,1 stop,No info,5636
88,Jet Airways,06-06-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,07-06-2019 04:25,18h 45m,2 stops,No info,13014
89,Jet Airways,01-04-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064
90,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,25-05-2019 14:25,18h,1 stop,In-flight meal not included,10703
91,Multiple carriers,27-05-2019,Delhi,Cochin,DEL _ HYD _ COK,13:15,22:30,9h 15m,1 stop,No info,9646
92,Multiple carriers,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,13:20,11h 5m,1 stop,No info,17057
93,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,16:55,13-03-2019 10:25,17h 30m,1 stop,No info,13817
94,Air India,06-03-2019,Delhi,Cochin,DEL _ BHO _ BOM _ COK,05:55,19:15,13h 20m,2 stops,No info,13748
95,Air India,21-04-2019,Kolkata,Banglore,CCU _ BLR,20:45,23:20,2h 35m,non-stop,No info,4880
96,IndiGo,21-06-2019,Chennai,Kolkata,MAA _ CCU,05:15,07:40,2h 25m,non-stop,No info,3540
97,SpiceJet,15-05-2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257
98,Jet Airways,03-06-2019,Banglore,Delhi,BLR _ DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478
99,Jet Airways,18-06-2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info,8040
100,Jet Airways,12-06-2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,13-06-2019 12:35,16h 35m,2 stops,No info,14300
101,Jet Airways,15-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,No info,14781
102,Jet Airways,09-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,10-06-2019 08:15,12h 15m,1 stop,No info,14939
103,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,25-06-2019 04:25,7h 30m,1 stop,In-flight meal not included,10262
104,Air India,12-05-2019,Kolkata,Banglore,CCU _ MAA _ BLR,14:35,13-05-2019 14:35,24h,1 stop,No info,6528
105,Air India,01-05-2019,Banglore,Delhi,BLR _ DEL,06:10,08:55,2h 45m,non-stop,No info,6121
106,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,19:30,19-05-2019 04:25,8h 55m,2 stops,In-flight meal not included,13029
107,Multiple carriers,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,18:50,7h 10m,1 stop,No info,11421
108,Multiple carriers,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,04:45,19:15,14h 30m,1 stop,No info,7574
109,Air India,09-05-2019,Delhi,Cochin,DEL _ JDH _ BOM _ COK,12:55,10-05-2019 19:15,30h 20m,2 stops,No info,11596
110,Jet Airways,24-05-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,25-05-2019 19:00,19h 55m,2 stops,No info,15129
111,Jet Airways,18-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,14:05,16-03-2019 05:05,15h,1 stop,No info,13555
112,IndiGo,12-04-2019,Banglore,Delhi,BLR _ DEL,18:55,21:50,2h 55m,non-stop,No info,5780
113,Vistara,12-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:20,13-05-2019 09:05,12h 45m,1 stop,No info,9397
114,Jet Airways,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,18:15,07-03-2019 04:25,10h 10m,1 stop,No info,17024
115,GoAir,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,12:55,5h 55m,1 stop,No info,5281
116,Multiple carriers,18-05-2019,Delhi,Cochin,DEL _ HYD _ COK,07:05,22:30,15h 25m,1 stop,No info,10348
117,Air India,06-03-2019,Delhi,Cochin,DEL _ MAA _ COK,17:20,07-03-2019 09:25,16h 5m,1 stop,No info,12677
118,Multiple carriers,03-03-2019,Delhi,Cochin,DEL _ BOM _ COK,15:25,04-03-2019 01:35,10h 10m,1 stop,No info,15147
119,Vistara,12-06-2019,Banglore,Delhi,BLR _ DEL,07:00,09:40,2h 40m,non-stop,No info,4668
120,Jet Airways,09-05-2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,19:00,11h 55m,1 stop,No info,15554
121,SpiceJet,09-04-2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No info,3971
122,Air India,03-05-2019,Mumbai,Hyderabad,BOM _ HYD,15:00,16:25,1h 25m,non-stop,No info,3100
123,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,07-05-2019 10:05,14h 5m,1 stop,In-flight meal not included,9663
124,Air India,01-03-2019,Delhi,Cochin,DEL _ BOM _ COK,23:00,02-03-2019 19:15,20h 15m,1 stop,No info,27430
125,IndiGo,12-05-2019,Chennai,Kolkata,MAA _ CCU,05:15,07:40,2h 25m,non-stop,No info,3540
126,Air India,21-05-2019,Kolkata,Banglore,CCU _ BBI _ BOM _ BLR,12:00,22-05-2019 11:10,23h 10m,2 stops,No info,10676
127,Jet Airways,12-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,13-06-2019 08:15,18h 10m,1 stop,No info,13044
128,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,07-05-2019 12:00,16h,1 stop,No info,14388
129,IndiGo,24-06-2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943
130,IndiGo,03-06-2019,Chennai,Kolkata,MAA _ CCU,14:45,17:05,2h 20m,non-stop,No info,3597
131,Air India,21-03-2019,Banglore,New Delhi,BLR _ MAA _ DEL,11:50,19:50,8h,1 stop,No info,5932
132,Jet Airways,15-06-2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,16-06-2019 04:25,16h 55m,1 stop,In-flight meal not included,10262
133,Vistara,12-05-2019,Delhi,Cochin,DEL _ COK,14:40,17:50,3h 10m,non-stop,No info,6216
134,IndiGo,15-06-2019,Kolkata,Banglore,CCU _ BLR,20:25,23:10,2h 45m,non-stop,No info,4804
135,Multiple carriers,21-05-2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,22-05-2019 01:30,14h,1 stop,No info,14067
136,Jet Airways,18-05-2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,19:10,19-05-2019 19:00,23h 50m,2 stops,No info,15129
137,Jet Airways,06-06-2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,06:45,07-06-2019 04:25,21h 40m,2 stops,No info,13376
138,Air India,27-06-2019,Delhi,Cochin,DEL _ GOI _ BOM _ COK,22:00,28-06-2019 19:15,21h 15m,2 stops,No info,10441
139,Jet Airways,24-05-2019,Banglore,Delhi,BLR _ DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030
140,Jet Airways,03-03-2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,18:50,10h 50m,1 stop,No info,17024
141,Multiple carriers,09-04-2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,10-04-2019 01:30,8h,1 stop,No info,13017
142,GoAir,06-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,23:30,07-06-2019 07:45,8h 15m,1 stop,No info,6686
143,IndiGo,15-06-2019,Delhi,Cochin,DEL _ MAA _ COK,02:00,07:25,5h 25m,1 stop,No info,5636
144,IndiGo,09-06-2019,Delhi,Cochin,DEL _ HYD _ COK,07:35,16:10,8h 35m,1 stop,No info,6442
145,Multiple carriers,21-05-2019,Delhi,Cochin,DEL _ HYD _ COK,13:05,22-05-2019 00:55,11h 50m,1 stop,No info,9486
146,Jet Airways,21-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,22-05-2019 23:35,27h 35m,1 stop,In-flight meal not included,10844
147,Jet Airways,03-06-2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,04-06-2019 04:25,8h 25m,2 stops,In-flight meal not included,15318
148,Air India,03-04-2019,Delhi,Cochin,DEL _ MAA _ COK,12:30,04-04-2019 09:25,20h 55m,1 stop,No info,5117
149,IndiGo,24-06-2019,Delhi,Cochin,DEL _ BLR _ COK,15:10,20:00,4h 50m,1 stop,No info,6147
150,Multiple carriers,09-06-2019,Delhi,Cochin,DEL _ BOM _ COK,12:50,21:00,8h 10m,1 stop,No info,7005
151,SpiceJet,03-04-2019,Kolkata,Banglore,CCU _ BLR,22:20,04-04-2019 00:40,2h 20m,non-stop,No info,3873
152,Jet Airways,21-03-2019,Delhi,Cochin,DEL _ BDQ _ BOM _ COK,18:25,22-03-2019 18:50,24h 25m,2 stops,In-flight meal not included,9270
153,GoAir,27-06-2019,Banglore,Delhi,BLR _ DEL,11:40,14:30,2h 50m,non-stop,No info,3898
154,Jet Airways,12-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,No info,14781
155,Jet Airways,24-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,25-05-2019 08:15,12h 15m,1 stop,In-flight meal not included,8586
156,Air India,09-05-2019,Kolkata,Banglore,CCU _ JAI _ BOM _ BLR,08:20,10-05-2019 07:55,23h 35m,2 stops,No info,10697
157,Jet Airways,27-06-2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,28-06-2019 12:35,16h 35m,2 stops,No info,14300
158,IndiGo,03-03-2019,Banglore,New Delhi,BLR _ DEL,18:55,21:45,2h 50m,non-stop,No info,8855
159,Jet Airways,12-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,13-05-2019 18:15,25h 45m,1 stop,In-flight meal not included,10844
160,Jet Airways,06-03-2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,07-03-2019 04:25,26h 10m,1 stop,No info,17024
161,Jet Airways,01-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,02-05-2019 14:25,28h 50m,1 stop,In-flight meal not included,9314
162,IndiGo,24-03-2019,Banglore,New Delhi,BLR _ DEL,00:40,03:25,2h 45m,non-stop,No info,4777
163,Air India,09-06-2019,Kolkata,Banglore,CCU _ BBI _ BLR,12:00,10-06-2019 13:15,25h 15m,1 stop,No info,7662
164,IndiGo,09-05-2019,Delhi,Cochin,DEL _ HYD _ COK,06:50,16:10,9h 20m,1 stop,No info,6442
165,SpiceJet,12-06-2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,5264
166,Jet Airways,27-05-2019,Delhi,Cochin,DEL _ BOM _ COK,13:00,28-05-2019 04:25,15h 25m,1 stop,In-flight meal not included,12898
167,Air India,03-03-2019,Mumbai,Hyderabad,BOM _ HYD,13:55,15:25,1h 30m,non-stop,No info,6092
168,SpiceJet,21-05-2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No info,3311
169,Jet Airways,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,19:15,28-03-2019 04:25,9h 10m,1 stop,In-flight meal not included,6540
170,IndiGo,27-05-2019,Banglore,Delhi,BLR _ DEL,01:30,04:15,2h 45m,non-stop,No info,3419
171,Jet Airways,03-04-2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,04-04-2019 12:35,22h 35m,1 stop,In-flight meal not included,5177
172,Air India,18-04-2019,Delhi,Cochin,DEL _ COK,18:05,21:10,3h 5m,non-stop,No info,8246
173,Jet Airways,09-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,21:05,11h 30m,1 stop,No info,14676
174,Multiple carriers,27-06-2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,21:00,9h 30m,1 stop,No info,13587
175,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,07-05-2019 09:20,12h 10m,1 stop,In-flight meal not included,9663
176,Jet Airways,12-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,13-06-2019 10:05,17h 35m,1 stop,No info,13044
177,IndiGo,03-04-2019,Delhi,Cochin,DEL _ BOM _ COK,20:25,04-04-2019 01:30,5h 5m,1 stop,No info,5073
178,Vistara,21-05-2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,22-05-2019 18:50,25h 50m,1 stop,No info,9345
179,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,07-05-2019 10:05,20h,1 stop,In-flight meal not included,9663
180,Multiple carriers,21-05-2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,21:00,13h,1 stop,No info,14277
181,Jet Airways,01-06-2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,02-06-2019 04:25,18h 25m,1 stop,In-flight meal not included,10262
182,Jet Airways,27-03-2019,Mumbai,Hyderabad,BOM _ HYD,19:35,21:05,1h 30m,non-stop,No info,5678
183,Multiple carriers,15-05-2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,16-05-2019 01:30,9h 30m,1 stop,No info,13727
184,Jet Airways,06-05-2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,07-05-2019 12:00,16h,1 stop,In-flight meal not included,9663
185,IndiGo,12-05-2019,Chennai,Kolkata,MAA _ CCU,14:45,17:05,2h 20m,non-stop,No info,3858
186,SpiceJet,24-06-2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,4812
187,IndiGo,27-06-2019,Delhi,Cochin,DEL _ LKO _ COK,21:50,28-06-2019 03:35,5h 45m,1 stop,No info,5775
188,Jet Airways,06-06-2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,07-06-2019 09:45,24h 10m,1 stop,In-flight meal not included,10539
189,IndiGo,03-06-2019,Kolkata,Banglore,CCU _ BLR,15:30,18:05,2h 35m,non-stop,No info,4804
190,Air Asia,12-06-2019,Banglore,Delhi,BLR _ DEL,11:10,13:55,2h 45m,non-stop,No info,3383
191,IndiGo,03-03-2019,Banglore,New Delhi,BLR _ HYD _ DEL,12:10,17:05,4h 55m,1 stop,No info,8738
192,Air India,27-03-2019,Delhi,Cochin,DEL _ TRV _ COK,05:15,28-03-2019 06:50,25h 35m,1 stop,No info,7165
193,IndiGo,24-06-2019,Delhi,Cochin,DEL _ HYD _ COK,16:10,22:30,6h 20m,1 stop,No info,6412
194,Jet Airways,27-06-2019,Banglore,Delhi,BLR _ DEL,18:55,22:00,3h 5m,non-stop,No info,8016
195,Jet Airways,12-03-2019,Banglore,New Delhi,BLR _ BOM _ DEL,20:35,13-03-2019 15:15,18h 40m,1 stop,In-flight meal not included,11087
196,SpiceJet,27-06-2019,Chennai,Kolkata,MAA _ CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
197,Jet Airways,12-06-2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,13-06-2019 04:40,12h 10m,1 stop,No info,12471
198,Jet Airways,24-06-2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,25-06-2019 04:25,19h 25m,1 stop,In-flight meal not included,10262
199,Air India,18-03-2019,Banglore,New Delhi,BLR _ DEL,13:20,16:10,2h 50m,non-stop,No info,4441
200,Multiple carriers,27-03-2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,15:30,8h 25m,1 stop,No info,12537
201,GoAir,24-03-2019,Kolkata,Banglore,CCU _ BOM _ BLR,22:25,25-03-2019 07:40,9h 15m,1 stop,No info,10091
202,Air India,03-06-2019,Banglore,Delhi,BLR _ DEL,21:05,23:55,2h 50m,non-stop,No info,6961
203,IndiGo,24-04-2019,Delhi,Cochin,DEL _ COK,05:35,08:50,3h 15m,non-stop,No info,5013
204,Air India,18-05-2019,Delhi,Cochin,DEL _ COK,05:10,08:00,2h 50m,non-stop,No info,6934
205,Multiple carriers,03-06-2019,Delhi,Cochin,DEL _ BOM _ COK,06:40,19:00,12h 20m,1 stop,No info,10877
