Airline,Source,Destination,Total_Stops,Price,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Air India,Chennai,Kolkata,0,4667.0,135,5,3,2019,11,40,13,55,5,3,2019
Air India,Kolkata,Banglore,1,6117.0,965,15,5,2019,19,0,11,5,16,5,2019
Jet Airways,Delhi,Cochin,2,11150.0,1195,27,6,2019,23,5,19,0,28,6,2019
Jet Airways,Delhi,Cochin,0,7202.0,195,3,9,2019,11,0,14,15,3,9,2019
Jet Airways,Kolkata,Banglore,1,12121.0,1520,5,1,2019,9,35,10,55,5,2,2019
IndiGo,Banglore,Delhi,0,4377.0,170,24,3,2019,22,20,1,10,28,3,2019
IndiGo,Banglore,Delhi,0,3943.0,180,18,6,2019,21,15,0,15,19,6,2019
Air Asia,Banglore,Delhi,0,4483.0,170,4,3,2019,23,55,2,45,4,4,2019
Jet Airways,Kolkata,Banglore,1,14231.0,975,24,3,2019,19,45,12,0,25,3,2019
Air India,Banglore,Delhi,2,17345.0,905,3,1,2019,8,50,23,55,3,1,2019
Vistara,Chennai,Kolkata,0,7414.0,135,3,6,2019,7,5,9,20,3,6,2019
Multiple carriers,Delhi,Cochin,1,8073.0,390,5,6,2019,19,0,1,30,5,7,2019
Vistara,Mumbai,Hyderabad,1,12395.0,1505,3,6,2019,15,40,16,45,3,7,2019
Air India,Kolkata,Banglore,1,8366.0,745,6,6,2019,9,25,21,50,6,6,2019
Air India,Delhi,Cochin,1,5117.0,1640,4,3,2019,6,5,9,25,4,4,2019
Multiple carriers,Delhi,Cochin,1,12524.0,615,6,3,2019,8,45,19,0,6,3,2019
IndiGo,Delhi,Cochin,1,7191.0,630,15,5,2019,15,0,1,30,16,5,2019
Vistara,Chennai,Kolkata,0,3687.0,135,24,5,2019,7,5,9,20,24,5,2019
IndiGo,Delhi,Cochin,1,5894.0,625,24,6,2019,10,35,21,0,24,6,2019
Vistara,Banglore,Delhi,0,5403.0,170,24,4,2019,9,45,12,35,24,4,2019
Air India,Mumbai,Hyderabad,0,3625.0,90,5,6,2019,13,55,15,25,5,6,2019
Air India,Delhi,Cochin,2,10861.0,800,21,5,2019,5,55,19,15,21,5,2019
IndiGo,Chennai,Kolkata,0,6297.0,135,3,12,2019,13,20,15,35,3,12,2019
Jet Airways,Mumbai,Hyderabad,0,5678.0,85,6,1,2019,7,5,8,30,6,1,2019
Jet Airways,Banglore,Delhi,1,9134.0,1590,3,9,2019,5,45,8,15,13,3,2019
Multiple carriers,Delhi,Cochin,1,10791.0,440,24,6,2019,11,40,19,0,24,6,2019
Jet Airways,Delhi,Cochin,2,12819.0,810,24,6,2019,23,5,12,35,25,6,2019
IndiGo,Delhi,Cochin,1,6893.0,300,21,3,2019,5,5,10,5,21,3,2019
Vistara,Banglore,Delhi,0,7240.0,165,3,9,2019,9,50,12,35,3,9,2019
GoAir,Banglore,Delhi,0,3898.0,170,4,3,2019,11,40,14,30,4,3,2019
IndiGo,Mumbai,Hyderabad,0,4049.0,90,4,3,2019,6,25,7,55,4,3,2019
Jet Airways,Delhi,Cochin,1,10262.0,1145,15,6,2019,17,30,12,35,16,6,2019
SpiceJet,Chennai,Kolkata,0,3332.0,135,21,3,2019,8,20,10,35,21,3,2019
Jet Airways,Kolkata,Banglore,1,10844.0,890,6,9,2019,21,10,12,0,6,10,2019
Jet Airways,Banglore,Delhi,0,7229.0,160,24,3,2019,19,55,22,35,24,3,2019
Jet Airways,Kolkata,Banglore,1,13941.0,1330,5,6,2019,6,30,4,40,5,7,2019
IndiGo,Delhi,Cochin,1,5894.0,575,27,6,2019,11,25,21,0,27,6,2019
Multiple carriers,Delhi,Cochin,1,10197.0,600,18,5,2019,9,0,19,0,18,5,2019
Jet Airways,Banglore,Delhi,1,13712.0,1280,3,6,2019,14,5,11,25,3,7,2019
IndiGo,Delhi,Cochin,1,5636.0,325,24,6,2019,2,0,7,25,24,6,2019
Jet Airways,Delhi,Cochin,2,13014.0,1125,6,6,2019,9,40,4,25,6,7,2019
Jet Airways,Kolkata,Banglore,1,7064.0,740,4,1,2019,8,25,20,45,4,1,2019
Jet Airways,Kolkata,Banglore,1,10703.0,1080,24,5,2019,20,25,14,25,25,5,2019
Multiple carriers,Delhi,Cochin,1,9646.0,555,27,5,2019,13,15,22,30,27,5,2019
Multiple carriers,Delhi,Cochin,1,17057.0,665,3,6,2019,2,15,13,20,3,6,2019
Jet Airways,Banglore,Delhi,1,13817.0,1050,3,12,2019,16,55,10,25,13,3,2019
Air India,Delhi,Cochin,2,13748.0,800,3,6,2019,5,55,19,15,3,6,2019
Air India,Kolkata,Banglore,0,4880.0,155,21,4,2019,20,45,23,20,21,4,2019
IndiGo,Chennai,Kolkata,0,3540.0,145,21,6,2019,5,15,7,40,21,6,2019
SpiceJet,Banglore,Delhi,0,3257.0,160,15,5,2019,5,55,8,35,15,5,2019
Jet Airways,Banglore,Delhi,0,6478.0,180,6,3,2019,19,50,22,50,6,3,2019
Jet Airways,Mumbai,Hyderabad,0,8040.0,85,18,6,2019,7,5,8,30,18,6,2019
Jet Airways,Delhi,Cochin,2,14300.0,995,6,12,2019,20,0,12,35,13,6,2019
Jet Airways,Kolkata,Banglore,1,14781.0,740,15,5,2019,8,25,20,45,15,5,2019
Jet Airways,Kolkata,Banglore,1,14939.0,735,6,9,2019,20,0,8,15,6,10,2019
Jet Airways,Delhi,Cochin,1,10262.0,450,24,6,2019,20,55,4,25,25,6,2019
Air India,Kolkata,Banglore,1,6528.0,1440,5,12,2019,14,35,14,35,13,5,2019
Air India,Banglore,Delhi,0,6121.0,165,5,1,2019,6,10,8,55,5,1,2019
Jet Airways,Delhi,Cochin,2,13029.0,535,18,5,2019,19,30,4,25,19,5,2019
Multiple carriers,Delhi,Cochin,1,11421.0,430,27,3,2019,11,40,18,50,27,3,2019
Multiple carriers,Delhi,Cochin,1,7574.0,870,27,3,2019,4,45,19,15,27,3,2019
Air India,Delhi,Cochin,2,11596.0,1820,5,9,2019,12,55,19,15,5,10,2019
Jet Airways,Delhi,Cochin,2,15129.0,1195,24,5,2019,23,5,19,0,25,5,2019
Jet Airways,Banglore,Delhi,1,13555.0,900,18,3,2019,14,5,5,5,16,3,2019
IndiGo,Banglore,Delhi,0,5780.0,175,4,12,2019,18,55,21,50,4,12,2019
Vistara,Kolkata,Banglore,1,9397.0,765,5,12,2019,20,20,9,5,13,5,2019
Jet Airways,Delhi,Cochin,1,17024.0,610,3,6,2019,18,15,4,25,3,7,2019
GoAir,Delhi,Cochin,1,5281.0,355,27,6,2019,7,0,12,55,27,6,2019
Multiple carriers,Delhi,Cochin,1,10348.0,925,18,5,2019,7,5,22,30,18,5,2019
Air India,Delhi,Cochin,1,12677.0,965,3,6,2019,17,20,9,25,3,7,2019
Multiple carriers,Delhi,Cochin,1,15147.0,610,3,3,2019,15,25,1,35,3,4,2019
Vistara,Banglore,Delhi,0,4668.0,160,6,12,2019,7,0,9,40,6,12,2019
Jet Airways,Delhi,Cochin,1,15554.0,715,5,9,2019,7,5,19,0,5,9,2019
SpiceJet,Banglore,Delhi,0,3971.0,160,4,9,2019,5,55,8,35,4,9,2019
Air India,Mumbai,Hyderabad,0,3100.0,85,5,3,2019,15,0,16,25,5,3,2019
Jet Airways,Kolkata,Banglore,1,9663.0,845,5,6,2019,20,0,10,5,5,7,2019
Air India,Delhi,Cochin,1,27430.0,1215,3,1,2019,23,0,19,15,3,2,2019
IndiGo,Chennai,Kolkata,0,3540.0,145,5,12,2019,5,15,7,40,5,12,2019
Air India,Kolkata,Banglore,2,10676.0,1390,21,5,2019,12,0,11,10,22,5,2019
Jet Airways,Kolkata,Banglore,1,13044.0,1090,6,12,2019,14,5,8,15,13,6,2019
Jet Airways,Kolkata,Banglore,1,14388.0,960,5,6,2019,20,0,12,0,5,7,2019
IndiGo,Banglore,Delhi,0,3943.0,170,24,6,2019,4,0,6,50,24,6,2019
IndiGo,Chennai,Kolkata,0,3597.0,140,6,3,2019,14,45,17,5,6,3,2019
Air India,Banglore,Delhi,1,5932.0,480,21,3,2019,11,50,19,50,21,3,2019
Jet Airways,Delhi,Cochin,1,10262.0,1015,15,6,2019,11,30,4,25,16,6,2019
Vistara,Delhi,Cochin,0,6216.0,190,5,12,2019,14,40,17,50,5,12,2019
IndiGo,Kolkata,Banglore,0,4804.0,165,15,6,2019,20,25,23,10,15,6,2019
Multiple carriers,Delhi,Cochin,1,14067.0,840,21,5,2019,11,30,1,30,22,5,2019
Jet Airways,Delhi,Cochin,2,15129.0,1430,18,5,2019,19,10,19,0,19,5,2019
Jet Airways,Delhi,Cochin,2,13376.0,1300,6,6,2019,6,45,4,25,6,7,2019
Air India,Delhi,Cochin,2,10441.0,1275,27,6,2019,22,0,19,15,28,6,2019
Jet Airways,Banglore,Delhi,0,4030.0,165,24,5,2019,6,0,8,45,24,5,2019
Jet Airways,Delhi,Cochin,1,17024.0,650,3,3,2019,8,0,18,50,3,3,2019
Multiple carriers,Delhi,Cochin,1,13017.0,480,4,9,2019,17,30,1,30,4,10,2019
GoAir,Kolkata,Banglore,1,6686.0,495,6,6,2019,23,30,7,45,6,7,2019
IndiGo,Delhi,Cochin,1,5636.0,325,15,6,2019,2,0,7,25,15,6,2019
IndiGo,Delhi,Cochin,1,6442.0,515,6,9,2019,7,35,16,10,6,9,2019
Multiple carriers,Delhi,Cochin,1,9486.0,710,21,5,2019,13,5,0,55,22,5,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1655,21,5,2019,20,0,23,35,22,5,2019
Jet Airways,Delhi,Cochin,2,15318.0,505,6,3,2019,20,0,4,25,6,4,2019
Air India,Delhi,Cochin,1,5117.0,1255,4,3,2019,12,30,9,25,4,4,2019
IndiGo,Delhi,Cochin,1,6147.0,290,24,6,2019,15,10,20,0,24,6,2019
Multiple carriers,Delhi,Cochin,1,7005.0,490,6,9,2019,12,50,21,0,6,9,2019
SpiceJet,Kolkata,Banglore,0,3873.0,140,4,3,2019,22,20,0,40,4,4,2019
Jet Airways,Delhi,Cochin,2,9270.0,1465,21,3,2019,18,25,18,50,22,3,2019
GoAir,Banglore,Delhi,0,3898.0,170,27,6,2019,11,40,14,30,27,6,2019
Jet Airways,Kolkata,Banglore,1,14781.0,740,5,12,2019,8,25,20,45,5,12,2019
Jet Airways,Kolkata,Banglore,1,8586.0,735,24,5,2019,20,0,8,15,25,5,2019
Air India,Kolkata,Banglore,2,10697.0,1415,5,9,2019,8,20,7,55,5,10,2019
Jet Airways,Delhi,Cochin,2,14300.0,995,27,6,2019,20,0,12,35,28,6,2019
IndiGo,Banglore,Delhi,0,8855.0,170,3,3,2019,18,55,21,45,3,3,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1545,5,12,2019,16,30,18,15,13,5,2019
Jet Airways,Delhi,Cochin,1,17024.0,1570,3,6,2019,2,15,4,25,3,7,2019
Jet Airways,Kolkata,Banglore,1,9314.0,1730,5,1,2019,9,35,14,25,5,2,2019
IndiGo,Banglore,Delhi,0,4777.0,165,24,3,2019,0,40,3,25,24,3,2019
Air India,Kolkata,Banglore,1,7662.0,1515,6,9,2019,12,0,13,15,6,10,2019
IndiGo,Delhi,Cochin,1,6442.0,560,5,9,2019,6,50,16,10,5,9,2019
SpiceJet,Delhi,Cochin,1,5264.0,270,6,12,2019,8,45,13,15,6,12,2019
Jet Airways,Delhi,Cochin,1,12898.0,925,27,5,2019,13,0,4,25,28,5,2019
Air India,Mumbai,Hyderabad,0,6092.0,90,3,3,2019,13,55,15,25,3,3,2019
SpiceJet,Banglore,Delhi,0,3311.0,160,21,5,2019,5,55,8,35,21,5,2019
Jet Airways,Delhi,Cochin,1,6540.0,550,27,3,2019,19,15,4,25,28,3,2019
IndiGo,Banglore,Delhi,0,3419.0,165,27,5,2019,1,30,4,15,27,5,2019
Jet Airways,Delhi,Cochin,1,5177.0,1355,4,3,2019,14,0,12,35,4,4,2019
Air India,Delhi,Cochin,0,8246.0,185,18,4,2019,18,5,21,10,18,4,2019
Jet Airways,Kolkata,Banglore,1,14676.0,690,6,9,2019,9,35,21,5,6,9,2019
Multiple carriers,Delhi,Cochin,1,13587.0,570,27,6,2019,11,30,21,0,27,6,2019
Jet Airways,Kolkata,Banglore,1,9663.0,730,5,6,2019,21,10,9,20,5,7,2019
Jet Airways,Kolkata,Banglore,1,13044.0,1055,6,12,2019,16,30,10,5,13,6,2019
IndiGo,Delhi,Cochin,1,5073.0,305,4,3,2019,20,25,1,30,4,4,2019
Vistara,Kolkata,Banglore,1,9345.0,1550,21,5,2019,17,0,18,50,22,5,2019
Jet Airways,Kolkata,Banglore,1,9663.0,1200,5,6,2019,14,5,10,5,5,7,2019
Multiple carriers,Delhi,Cochin,1,14277.0,780,21,5,2019,8,0,21,0,21,5,2019
Jet Airways,Delhi,Cochin,1,10262.0,1105,6,1,2019,10,0,4,25,6,2,2019
Jet Airways,Mumbai,Hyderabad,0,5678.0,90,27,3,2019,19,35,21,5,27,3,2019
Multiple carriers,Delhi,Cochin,1,13727.0,570,15,5,2019,16,0,1,30,16,5,2019
Jet Airways,Kolkata,Banglore,1,9663.0,960,5,6,2019,20,0,12,0,5,7,2019
IndiGo,Chennai,Kolkata,0,3858.0,140,5,12,2019,14,45,17,5,5,12,2019
SpiceJet,Delhi,Cochin,1,4812.0,270,24,6,2019,8,45,13,15,24,6,2019
IndiGo,Delhi,Cochin,1,5775.0,345,27,6,2019,21,50,3,35,28,6,2019
Jet Airways,Kolkata,Banglore,1,10539.0,1450,6,6,2019,9,35,9,45,6,7,2019
IndiGo,Kolkata,Banglore,0,4804.0,155,6,3,2019,15,30,18,5,6,3,2019
Air Asia,Banglore,Delhi,0,3383.0,165,6,12,2019,11,10,13,55,6,12,2019
IndiGo,Banglore,Delhi,1,8738.0,295,3,3,2019,12,10,17,5,3,3,2019
Air India,Delhi,Cochin,1,7165.0,1535,27,3,2019,5,15,6,50,28,3,2019
IndiGo,Delhi,Cochin,1,6412.0,380,24,6,2019,16,10,22,30,24,6,2019
Jet Airways,Banglore,Delhi,0,8016.0,185,27,6,2019,18,55,22,0,27,6,2019
Jet Airways,Banglore,Delhi,1,11087.0,1120,3,12,2019,20,35,15,15,13,3,2019
SpiceJet,Chennai,Kolkata,0,3543.0,135,27,6,2019,9,45,12,0,27,6,2019
Jet Airways,Kolkata,Banglore,1,12471.0,730,6,12,2019,16,30,4,40,13,6,2019
Jet Airways,Delhi,Cochin,1,10262.0,1165,24,6,2019,9,0,4,25,25,6,2019
Air India,Banglore,Delhi,0,4441.0,170,18,3,2019,13,20,16,10,18,3,2019
Multiple carriers,Delhi,Cochin,1,12537.0,505,27,3,2019,7,5,15,30,27,3,2019
GoAir,Kolkata,Banglore,1,10091.0,555,24,3,2019,22,25,7,40,25,3,2019
Air India,Banglore,Delhi,0,6961.0,170,6,3,2019,21,5,23,55,6,3,2019
IndiGo,Delhi,Cochin,0,5013.0,195,24,4,2019,5,35,8,50,24,4,2019
Air India,Delhi,Cochin,0,6934.0,170,18,5,2019,5,10,8,0,18,5,2019
Multiple carriers,Delhi,Cochin,1,10877.0,740,6,3,2019,6,40,19,0,6,3,2019
Jet Airways,Banglore,Delhi,0,7229.0,175,18,4,2019,15,15,18,10,18,4,2019
IndiGo,Delhi,Cochin,1,7048.0,575,27,3,2019,16,0,1,35,28,3,2019
Vistara,Banglore,Delhi,0,4878.0,155,27,6,2019,17,0,19,35,27,6,2019
Jet Airways,Kolkata,Banglore,1,10844.0,570,21,5,2019,14,5,23,35,21,5,2019
Jet Airways,Delhi,Cochin,2,15129.0,1760,18,5,2019,23,5,4,25,20,5,2019
IndiGo,Banglore,Delhi,0,3943.0,175,5,12,2019,0,30,3,25,5,12,2019
SpiceJet,Delhi,Cochin,1,5583.0,315,6,6,2019,6,5,11,20,6,6,2019
Multiple carriers,Delhi,Cochin,1,9646.0,545,6,6,2019,7,5,16,10,6,6,2019
Multiple carriers,Delhi,Cochin,1,7677.0,645,6,3,2019,8,30,19,15,6,3,2019
IndiGo,Delhi,Cochin,1,6842.0,295,6,1,2019,5,10,10,5,6,1,2019
Jet Airways,Mumbai,Hyderabad,0,4995.0,90,24,6,2019,8,45,10,15,24,6,2019
Vistara,Kolkata,Banglore,1,9555.0,700,6,9,2019,7,10,18,50,6,9,2019
IndiGo,Banglore,Delhi,0,4077.0,165,6,1,2019,1,30,4,15,6,1,2019
Jet Airways,Banglore,Delhi,0,7229.0,175,5,12,2019,15,15,18,10,5,12,2019
Multiple carriers,Delhi,Cochin,1,12192.0,600,6,9,2019,9,0,19,0,6,9,2019
Air India,Banglore,Delhi,0,5911.0,165,4,12,2019,10,0,12,45,4,12,2019
Air India,Delhi,Cochin,1,8372.0,615,6,12,2019,9,0,19,15,6,12,2019
Jet Airways,Mumbai,Hyderabad,0,4995.0,85,18,3,2019,7,10,8,35,18,3,2019
Multiple carriers,Delhi,Cochin,1,14323.0,555,5,9,2019,10,0,19,15,5,9,2019
Jet Airways,Delhi,Cochin,2,13014.0,1375,6,9,2019,5,30,4,25,6,10,2019
Air India,Delhi,Cochin,2,13591.0,1730,6,6,2019,14,25,19,15,6,7,2019
Jet Airways,Delhi,Cochin,2,18799.0,2245,3,3,2019,5,25,18,50,3,4,2019
IndiGo,Banglore,Delhi,0,3943.0,170,27,4,2019,23,30,2,20,28,4,2019
SpiceJet,Mumbai,Hyderabad,0,1965.0,90,21,5,2019,5,45,7,15,21,5,2019
Jet Airways,Mumbai,Hyderabad,0,4995.0,90,27,5,2019,10,20,11,50,27,5,2019
Air India,Kolkata,Banglore,1,14641.0,1540,24,3,2019,16,50,18,30,25,3,2019
Air India,Kolkata,Banglore,0,4460.0,155,4,12,2019,20,45,23,20,4,12,2019
Air India,Delhi,Cochin,1,10191.0,375,18,5,2019,13,0,19,15,18,5,2019
Jet Airways,Delhi,Cochin,1,13843.0,1050,3,9,2019,2,15,19,45,3,9,2019
IndiGo,Delhi,Cochin,1,6349.0,345,5,1,2019,21,50,3,35,5,2,2019
Air Asia,Kolkata,Banglore,0,4409.0,155,5,1,2019,10,20,12,55,5,1,2019
Jet Airways,Delhi,Cochin,1,17024.0,1530,3,6,2019,18,15,19,45,3,7,2019
Multiple carriers,Delhi,Cochin,1,13727.0,835,18,5,2019,7,5,21,0,18,5,2019
IndiGo,Banglore,Delhi,0,8855.0,175,15,3,2019,18,25,21,20,15,3,2019
Multiple carriers,Delhi,Cochin,1,12524.0,615,24,6,2019,8,45,19,0,24,6,2019
Jet Airways,Banglore,Delhi,1,13555.0,520,18,3,2019,11,40,20,20,18,3,2019
Jet Airways,Kolkata,Banglore,1,10844.0,330,6,6,2019,6,30,12,0,6,6,2019
Multiple carriers,Delhi,Cochin,1,13587.0,720,6,9,2019,9,0,21,0,6,9,2019
SpiceJet,Chennai,Kolkata,0,3543.0,135,6,12,2019,9,45,12,0,6,12,2019
Vistara,Chennai,Kolkata,0,4842.0,135,18,3,2019,7,5,9,20,18,3,2019
IndiGo,Banglore,Delhi,0,3943.0,170,24,4,2019,23,30,2,20,25,4,2019
Jet Airways,Delhi,Cochin,1,10577.0,550,6,9,2019,19,15,4,25,6,10,2019
IndiGo,Delhi,Cochin,1,6979.0,625,15,5,2019,10,35,21,0,15,5,2019
Vistara,Chennai,Kolkata,0,11982.0,140,27,6,2019,17,45,20,5,27,6,2019
SpiceJet,Delhi,Cochin,1,5264.0,270,6,6,2019,8,45,13,15,6,6,2019
Vistara,Delhi,Cochin,0,8001.0,190,3,3,2019,6,0,9,10,3,3,2019
Air India,Delhi,Cochin,2,10651.0,1410,6,1,2019,19,45,19,15,6,2,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1640,24,5,2019,16,30,19,50,25,5,2019
Multiple carriers,Delhi,Cochin,1,6601.0,755,27,3,2019,9,45,22,20,27,3,2019
Air India,Delhi,Cochin,1,6587.0,1455,21,3,2019,19,0,19,15,22,3,2019
SpiceJet,Mumbai,Hyderabad,0,3173.0,80,21,3,2019,13,10,14,30,21,3,2019
Air India,Banglore,Delhi,0,5228.0,165,5,9,2019,10,0,12,45,5,9,2019
Jet Airways,Banglore,Delhi,0,5769.0,180,21,6,2019,7,10,10,10,21,6,2019
Jet Airways,Delhi,Cochin,1,14714.0,660,6,6,2019,8,0,19,0,6,6,2019
Jet Airways,Delhi,Cochin,2,13014.0,810,6,3,2019,5,30,19,0,6,3,2019
IndiGo,Banglore,Delhi,0,3359.0,170,6,3,2019,22,10,1,0,6,4,2019
GoAir,Banglore,Delhi,0,6722.0,175,3,3,2019,20,55,23,50,3,3,2019
IndiGo,Kolkata,Banglore,0,4462.0,165,18,3,2019,9,35,12,20,18,3,2019
IndiGo,Delhi,Cochin,1,6171.0,675,3,9,2019,4,55,16,10,3,9,2019
Air India,Kolkata,Banglore,2,12303.0,875,21,5,2019,5,50,20,25,21,5,2019
Multiple carriers,Delhi,Cochin,1,7695.0,835,21,3,2019,11,40,1,35,22,3,2019
IndiGo,Delhi,Cochin,1,5684.0,845,24,6,2019,11,25,1,30,25,6,2019
Air India,Kolkata,Banglore,1,8366.0,905,6,12,2019,16,50,7,55,13,6,2019
Air India,Chennai,Kolkata,0,19630.0,135,3,1,2019,11,40,13,55,3,1,2019
Jet Airways,Banglore,Delhi,1,13502.0,900,3,6,2019,14,5,5,5,3,7,2019
Jet Airways,Kolkata,Banglore,1,14781.0,775,5,1,2019,21,10,10,5,5,2,2019
Multiple carriers,Delhi,Cochin,1,6513.0,540,6,12,2019,7,10,16,10,6,12,2019
Air India,Delhi,Cochin,1,9929.0,735,6,1,2019,7,0,19,15,6,1,2019
Multiple carriers,Delhi,Cochin,2,18275.0,460,6,6,2019,17,50,1,30,6,7,2019
Air India,Delhi,Cochin,1,4487.0,1640,4,9,2019,6,5,9,25,4,10,2019
IndiGo,Mumbai,Hyderabad,0,2754.0,85,15,3,2019,21,20,22,45,15,3,2019
Air India,Mumbai,Hyderabad,0,2575.0,80,27,3,2019,6,20,7,40,27,3,2019
SpiceJet,Kolkata,Banglore,1,8224.0,330,6,12,2019,15,55,21,25,6,12,2019
Air India,Delhi,Cochin,1,8991.0,705,3,9,2019,20,30,8,15,3,10,2019
IndiGo,Delhi,Cochin,0,5000.0,195,24,6,2019,5,35,8,50,24,6,2019
Jet Airways,Kolkata,Banglore,1,8529.0,1495,6,12,2019,18,55,19,50,13,6,2019
Air India,Delhi,Cochin,1,14042.0,1640,3,3,2019,6,5,9,25,3,4,2019
Jet Airways,Banglore,Delhi,0,4030.0,175,24,5,2019,11,10,14,5,24,5,2019
Jet Airways,Kolkata,Banglore,1,10844.0,1025,6,6,2019,18,55,12,0,6,7,2019
IndiGo,Kolkata,Banglore,0,4804.0,160,5,6,2019,21,25,0,5,5,7,2019
Multiple carriers,Delhi,Cochin,1,7308.0,480,27,5,2019,17,30,1,30,28,5,2019
IndiGo,Banglore,Delhi,0,4823.0,180,5,12,2019,16,55,19,55,5,12,2019
