Airline,Source,Destination,Total_Stops,Duration_Hours_Minutes,Day_of_Departure,Month_of_Departure,Year_of_Departure,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute,Day_of_Arrival,Month_of_Arrival,Year_of_Arrival
Jet Airways,Delhi,Cochin,2,810,27,6,2019,23,5,12,35,28,6,2019
IndiGo,Delhi,Cochin,1,835,27,5,2019,8,35,22,30,27,5,2019
Multiple carriers,Delhi,Cochin,1,920,15,6,2019,7,10,22,30,15,6,2019
Air India,Banglore,Delhi,2,920,3,3,2019,17,25,8,45,3,7,2019
Multiple carriers,Delhi,Cochin,1,900,3,9,2019,6,0,21,0,3,9,2019
Jet Airways,Delhi,Cochin,1,385,21,3,2019,22,0,4,25,22,3,2019
Air India,Kolkata,Banglore,2,1385,6,12,2019,9,50,8,55,13,6,2019
Jet Airways,Delhi,Cochin,1,1530,18,5,2019,17,30,19,0,19,5,2019
IndiGo,Kolkata,Banglore,0,155,3,1,2019,15,20,17,55,3,1,2019
Vistara,Kolkata,Banglore,1,700,15,5,2019,7,10,18,50,15,5,2019
IndiGo,Banglore,Delhi,0,170,3,9,2019,22,20,1,10,13,3,2019
IndiGo,Mumbai,Hyderabad,0,90,18,6,2019,21,20,22,50,18,6,2019
Multiple carriers,Delhi,Cochin,1,730,21,3,2019,7,5,19,15,21,3,2019
Multiple carriers,Delhi,Cochin,1,545,6,6,2019,7,5,16,10,6,6,2019
IndiGo,Delhi,Cochin,1,295,24,6,2019,5,10,10,5,24,6,2019
Jet Airways,Delhi,Cochin,1,1485,6,1,2019,18,15,19,0,6,2,2019
Jet Airways,Banglore,Delhi,1,885,3,12,2019,9,45,0,30,13,3,2019
Air India,Delhi,Cochin,1,1360,3,6,2019,9,0,7,40,3,7,2019
Air India,Banglore,Delhi,1,1520,15,3,2019,22,0,23,20,16,3,2019
Multiple carriers,Delhi,Cochin,1,575,21,5,2019,2,15,11,50,21,5,2019
Air India,Banglore,Delhi,0,165,4,1,2019,6,10,8,55,4,1,2019
SpiceJet,Banglore,Delhi,0,175,24,5,2019,21,10,0,5,25,5,2019
IndiGo,Delhi,Cochin,1,940,6,6,2019,6,50,22,30,6,6,2019
Jet Airways,Mumbai,Hyderabad,0,90,27,5,2019,19,35,21,5,27,5,2019
Multiple carriers,Delhi,Cochin,1,615,21,5,2019,9,0,19,15,21,5,2019
GoAir,Delhi,Cochin,1,310,5,9,2019,14,25,19,35,5,9,2019
Jet Airways,Delhi,Cochin,1,1050,3,9,2019,2,15,19,45,3,9,2019
SpiceJet,Delhi,Cochin,1,380,15,5,2019,15,45,22,5,15,5,2019
Multiple carriers,Delhi,Cochin,1,395,21,3,2019,19,0,1,35,22,3,2019
IndiGo,Delhi,Cochin,1,625,3,6,2019,11,55,22,20,3,6,2019
Jet Airways,Banglore,Delhi,1,580,3,1,2019,11,40,21,20,3,1,2019
Jet Airways,Kolkata,Banglore,1,665,6,9,2019,21,10,8,15,6,10,2019
IndiGo,Mumbai,Hyderabad,0,95,18,6,2019,20,5,21,40,18,6,2019
IndiGo,Banglore,Delhi,0,180,21,6,2019,16,55,19,55,21,6,2019
Jet Airways,Delhi,Cochin,2,1620,6,3,2019,9,35,12,35,6,4,2019
IndiGo,Delhi,Cochin,1,665,15,4,2019,5,5,16,10,15,4,2019
IndiGo,Kolkata,Banglore,1,290,5,1,2019,8,10,13,0,5,1,2019
Air India,Delhi,Cochin,2,1560,24,6,2019,17,15,19,15,25,6,2019
Jet Airways,Delhi,Cochin,2,810,6,1,2019,5,30,19,0,6,1,2019
Jet Airways,Kolkata,Banglore,1,1430,4,1,2019,16,30,16,20,4,2,2019
Multiple carriers,Delhi,Cochin,1,725,3,6,2019,8,55,21,0,3,6,2019
GoAir,Banglore,Delhi,0,175,5,3,2019,7,45,10,40,5,3,2019
SpiceJet,Kolkata,Banglore,0,150,24,4,2019,17,10,19,40,24,4,2019
Jet Airways,Banglore,Delhi,1,520,18,3,2019,11,40,20,20,18,3,2019
Air Asia,Banglore,Delhi,0,165,6,1,2019,11,10,13,55,6,1,2019
Jet Airways,Delhi,Cochin,2,1195,27,6,2019,23,5,19,0,28,6,2019
Air India,Delhi,Cochin,2,1410,6,9,2019,19,45,19,15,6,10,2019
Jet Airways,Kolkata,Banglore,1,1570,5,6,2019,17,0,19,10,5,7,2019
Air Asia,Delhi,Cochin,1,625,27,4,2019,20,45,7,10,28,4,2019
SpiceJet,Kolkata,Banglore,0,150,27,5,2019,17,10,19,40,27,5,2019
IndiGo,Kolkata,Banglore,1,290,24,5,2019,15,15,20,5,24,5,2019
Jet Airways,Mumbai,Hyderabad,0,90,6,6,2019,19,35,21,5,6,6,2019
Air India,Kolkata,Banglore,2,1170,15,5,2019,9,10,4,40,16,5,2019
Jet Airways,Delhi,Cochin,2,810,27,5,2019,5,30,19,0,27,5,2019
Jet Airways,Mumbai,Hyderabad,0,90,27,3,2019,2,55,4,25,27,3,2019
SpiceJet,Kolkata,Banglore,1,435,24,5,2019,11,35,18,50,24,5,2019
Air India,Kolkata,Banglore,0,155,21,3,2019,20,45,23,20,21,3,2019
Multiple carriers,Delhi,Cochin,1,660,15,5,2019,8,0,19,0,15,5,2019
Air India,Kolkata,Banglore,0,155,21,5,2019,20,45,23,20,21,5,2019
Jet Airways,Delhi,Cochin,1,620,15,5,2019,2,15,12,35,15,5,2019
Air India,Delhi,Cochin,1,555,5,9,2019,10,0,19,15,5,9,2019
Air India,Delhi,Cochin,0,185,21,3,2019,18,5,21,10,21,3,2019
Air India,Delhi,Cochin,2,800,6,6,2019,5,55,19,15,6,6,2019
Jet Airways,Banglore,Delhi,0,185,6,1,2019,18,55,22,0,6,1,2019
Multiple carriers,Delhi,Cochin,1,780,21,3,2019,8,0,21,0,21,3,2019
Air India,Delhi,Cochin,2,1420,15,6,2019,9,45,9,25,16,6,2019
Jet Airways,Kolkata,Banglore,1,1630,5,9,2019,20,25,23,35,5,10,2019
IndiGo,Delhi,Cochin,1,300,27,6,2019,16,0,21,0,27,6,2019
IndiGo,Banglore,Delhi,0,170,6,3,2019,13,0,15,50,6,3,2019
Vistara,Kolkata,Banglore,1,945,6,9,2019,7,10,22,55,6,9,2019
SpiceJet,Banglore,Delhi,0,175,15,4,2019,21,10,0,5,16,4,2019
Jet Airways,Delhi,Cochin,1,1240,27,3,2019,23,5,19,45,28,3,2019
Air India,Kolkata,Banglore,1,675,5,6,2019,9,50,21,5,5,6,2019
Air India,Kolkata,Banglore,2,610,6,6,2019,8,20,18,30,6,6,2019
Jet Airways,Banglore,Delhi,1,640,3,6,2019,22,50,9,30,3,7,2019
IndiGo,Banglore,Delhi,0,175,3,9,2019,21,20,0,15,3,10,2019
Jet Airways,Kolkata,Banglore,1,635,18,5,2019,5,45,16,20,18,5,2019
Jet Airways,Kolkata,Banglore,1,910,5,6,2019,18,55,10,5,5,7,2019
Multiple carriers,Delhi,Cochin,1,450,3,6,2019,8,0,15,30,3,6,2019
IndiGo,Kolkata,Banglore,0,155,5,12,2019,20,20,22,55,5,12,2019
Air India,Banglore,Delhi,2,630,3,1,2019,5,50,16,20,3,1,2019
Air India,Delhi,Cochin,2,1420,3,9,2019,9,45,9,25,3,10,2019
Air India,Kolkata,Banglore,1,965,4,3,2019,19,0,11,5,4,4,2019
IndiGo,Banglore,Delhi,0,165,5,12,2019,1,30,4,15,5,12,2019
Jet Airways,Delhi,Cochin,2,1380,27,6,2019,20,0,19,0,28,6,2019
Air Asia,Kolkata,Banglore,1,220,18,5,2019,6,50,10,30,18,5,2019
Jet Airways,Kolkata,Banglore,1,1220,21,5,2019,20,0,16,20,22,5,2019
Multiple carriers,Delhi,Cochin,1,840,21,3,2019,7,0,21,0,21,3,2019
IndiGo,Kolkata,Banglore,0,155,27,5,2019,17,15,19,50,27,5,2019
Air India,Mumbai,Hyderabad,0,80,24,3,2019,21,5,22,25,24,3,2019
Jet Airways,Banglore,Delhi,0,180,15,6,2019,19,50,22,50,15,6,2019
Jet Airways,Kolkata,Banglore,1,1520,6,12,2019,9,35,10,55,13,6,2019
IndiGo,Delhi,Cochin,1,705,15,6,2019,9,15,21,0,15,6,2019
Air India,Kolkata,Banglore,2,1385,24,5,2019,9,50,8,55,25,5,2019
IndiGo,Kolkata,Banglore,0,150,21,4,2019,14,25,16,55,21,4,2019
Multiple carriers,Delhi,Cochin,1,600,5,9,2019,9,0,19,0,5,9,2019
Jet Airways,Delhi,Cochin,1,1040,27,5,2019,19,15,12,35,28,5,2019
Air India,Kolkata,Banglore,0,155,6,6,2019,20,45,23,20,6,6,2019
IndiGo,Kolkata,Banglore,0,170,27,3,2019,5,30,8,20,27,3,2019
Jet Airways,Delhi,Cochin,1,1015,6,9,2019,11,30,4,25,6,10,2019
Air India,Kolkata,Banglore,2,1610,18,5,2019,8,20,11,10,19,5,2019
Air India,Banglore,Delhi,1,1520,21,3,2019,22,0,23,20,19,3,2019
Jet Airways,Banglore,Delhi,1,1035,3,12,2019,5,45,23,0,3,12,2019
Air India,Delhi,Cochin,2,1410,15,5,2019,19,45,19,15,16,5,2019
Multiple carriers,Delhi,Cochin,1,470,15,5,2019,11,25,19,15,15,5,2019
Jet Airways,Delhi,Cochin,1,1005,6,3,2019,2,15,19,0,6,3,2019
Air India,Delhi,Cochin,1,1215,21,3,2019,23,0,19,15,22,3,2019
Air India,Delhi,Cochin,2,1275,15,5,2019,22,0,19,15,16,5,2019
Jet Airways,Banglore,Delhi,0,165,27,6,2019,6,0,8,45,27,6,2019
IndiGo,Kolkata,Banglore,1,325,24,5,2019,18,5,23,30,24,5,2019
Jet Airways,Delhi,Cochin,2,1375,15,6,2019,5,30,4,25,16,6,2019
Air India,Kolkata,Banglore,0,150,21,3,2019,14,15,16,45,21,3,2019
SpiceJet,Mumbai,Hyderabad,0,85,3,9,2019,8,50,10,15,3,9,2019
Jet Airways,Kolkata,Banglore,1,1295,5,1,2019,20,25,18,0,5,2,2019
Jet Airways,Banglore,Delhi,1,1365,3,1,2019,11,40,10,25,3,2,2019
Jet Airways,Kolkata,Banglore,1,1730,21,5,2019,9,35,14,25,22,5,2019
Jet Airways,Kolkata,Banglore,1,1200,21,5,2019,14,5,10,5,22,5,2019
Air India,Kolkata,Banglore,2,1390,6,6,2019,12,0,11,10,6,7,2019
Multiple carriers,Delhi,Cochin,1,755,3,6,2019,9,45,22,20,3,6,2019
Air India,Delhi,Cochin,2,1380,3,9,2019,20,15,19,15,3,10,2019
IndiGo,Banglore,Delhi,0,170,24,3,2019,10,10,13,0,24,3,2019
Air India,Kolkata,Banglore,1,745,18,5,2019,9,25,21,50,18,5,2019
Jet Airways,Delhi,Cochin,1,535,27,3,2019,9,55,18,50,27,3,2019
Air India,Banglore,Delhi,0,170,6,12,2019,21,5,23,55,6,12,2019
Jet Airways,Banglore,Delhi,1,780,18,3,2019,18,40,7,40,16,3,2019
Jet Airways,Kolkata,Banglore,1,1500,6,12,2019,17,0,18,0,13,6,2019
Jet Airways,Mumbai,Hyderabad,0,85,4,3,2019,7,5,8,30,4,3,2019
Multiple carriers,Delhi,Cochin,1,385,3,6,2019,9,45,16,10,3,6,2019
Jet Airways,Delhi,Cochin,2,1380,6,12,2019,20,0,19,0,13,6,2019
IndiGo,Delhi,Cochin,2,565,3,6,2019,11,55,21,20,3,6,2019
Jet Airways,Delhi,Cochin,1,1005,4,3,2019,2,15,19,0,4,3,2019
Multiple carriers,Delhi,Cochin,2,460,24,6,2019,17,50,1,30,25,6,2019
Air India,Delhi,Cochin,1,675,3,3,2019,8,0,19,15,3,3,2019
Jet Airways,Delhi,Cochin,2,810,6,3,2019,5,30,19,0,6,3,2019
Jet Airways,Delhi,Cochin,2,1375,18,5,2019,5,30,4,25,19,5,2019
GoAir,Delhi,Cochin,1,310,3,6,2019,14,10,19,20,3,6,2019
Air India,Banglore,Delhi,1,495,18,3,2019,0,30,8,45,18,3,2019
SpiceJet,Mumbai,Hyderabad,0,80,3,1,2019,5,45,7,5,3,1,2019
Vistara,Kolkata,Banglore,1,975,6,9,2019,7,10,23,25,6,9,2019
SpiceJet,Kolkata,Banglore,0,140,5,9,2019,22,20,0,40,5,10,2019
Jet Airways,Banglore,Delhi,1,740,21,3,2019,8,0,20,20,21,3,2019
SpiceJet,Mumbai,Hyderabad,0,90,6,9,2019,13,15,14,45,6,9,2019
Multiple carriers,Delhi,Cochin,1,810,27,3,2019,7,30,21,0,27,3,2019
Jet Airways,Delhi,Cochin,1,300,21,5,2019,14,0,19,0,21,5,2019
Multiple carriers,Delhi,Cochin,1,480,21,5,2019,17,30,1,30,22,5,2019
IndiGo,Chennai,Kolkata,0,140,5,6,2019,7,55,10,15,5,6,2019
Jet Airways,Kolkata,Banglore,1,1010,24,5,2019,16,30,9,20,25,5,2019
IndiGo,Kolkata,Banglore,0,155,4,12,2019,20,20,22,55,4,12,2019
Jet Airways,Kolkata,Banglore,1,435,5,12,2019,10,20,17,35,5,12,2019
IndiGo,Mumbai,Hyderabad,0,90,4,3,2019,2,35,4,5,4,3,2019
IndiGo,Delhi,Cochin,0,195,3,9,2019,5,35,8,50,3,9,2019
Jet Airways,Delhi,Cochin,2,1195,27,6,2019,23,5,19,0,28,6,2019
IndiGo,Delhi,Cochin,1,755,27,3,2019,8,25,21,0,27,3,2019
Multiple carriers,Delhi,Cochin,1,560,27,3,2019,4,0,13,20,27,3,2019
Air India,Kolkata,Banglore,0,150,5,3,2019,14,15,16,45,5,3,2019
Multiple carriers,Delhi,Cochin,1,390,5,6,2019,19,0,1,30,5,7,2019
Jet Airways,Delhi,Cochin,1,335,21,5,2019,22,50,4,25,22,5,2019
IndiGo,Mumbai,Hyderabad,0,90,5,12,2019,6,25,7,55,5,12,2019
Jet Airways,Delhi,Cochin,1,1680,6,6,2019,15,0,19,0,6,7,2019
Jet Airways,Banglore,Delhi,1,1200,18,3,2019,11,40,7,40,16,3,2019
IndiGo,Banglore,Delhi,0,175,6,9,2019,18,55,21,50,6,9,2019
Jet Airways,Kolkata,Banglore,1,1075,5,9,2019,17,0,10,55,5,10,2019
Jet Airways,Delhi,Cochin,2,1390,5,9,2019,13,25,12,35,5,10,2019
Vistara,Kolkata,Banglore,1,1065,5,12,2019,17,0,10,45,13,5,2019
IndiGo,Delhi,Cochin,0,195,21,6,2019,14,25,17,40,21,6,2019
IndiGo,Mumbai,Hyderabad,0,90,5,6,2019,9,10,10,40,5,6,2019
IndiGo,Banglore,Delhi,0,170,18,5,2019,10,10,13,0,18,5,2019
Multiple carriers,Delhi,Cochin,1,650,27,3,2019,8,25,19,15,27,3,2019
Jet Airways,Delhi,Cochin,1,655,27,3,2019,17,30,4,25,28,3,2019
Jet Airways,Kolkata,Banglore,1,1520,15,5,2019,9,35,10,55,16,5,2019
Multiple carriers,Delhi,Cochin,1,555,27,5,2019,10,0,19,15,27,5,2019
Jet Airways,Delhi,Cochin,2,1390,5,9,2019,13,25,12,35,5,10,2019
Jet Airways,Delhi,Cochin,2,1375,24,5,2019,5,30,4,25,25,5,2019
IndiGo,Delhi,Cochin,1,320,6,3,2019,17,5,22,25,6,3,2019
Multiple carriers,Delhi,Cochin,1,765,27,6,2019,9,45,22,30,27,6,2019
IndiGo,Banglore,Delhi,0,170,15,4,2019,8,30,11,20,15,4,2019
IndiGo,Delhi,Cochin,1,835,6,12,2019,8,35,22,30,6,12,2019
Jet Airways,Banglore,Delhi,0,180,4,1,2019,19,50,22,50,4,1,2019
Jet Airways,Delhi,Cochin,1,610,6,3,2019,18,15,4,25,6,4,2019
IndiGo,Delhi,Cochin,1,325,18,5,2019,2,0,7,25,18,5,2019
Jet Airways,Kolkata,Banglore,1,1500,6,6,2019,17,0,18,0,6,7,2019
IndiGo,Banglore,Delhi,0,170,15,4,2019,20,0,22,50,15,4,2019
IndiGo,Mumbai,Hyderabad,0,90,6,9,2019,9,10,10,40,6,9,2019
IndiGo,Delhi,Cochin,1,485,27,3,2019,17,30,1,35,28,3,2019
Multiple carriers,Delhi,Cochin,1,705,18,5,2019,7,30,19,15,18,5,2019
Jet Airways,Delhi,Cochin,1,1475,3,9,2019,18,15,18,50,3,10,2019
Jet Airways,Kolkata,Banglore,1,1730,5,1,2019,9,35,14,25,5,2,2019
Air India,Kolkata,Banglore,0,155,4,6,2019,20,45,23,20,4,6,2019
Jet Airways,Kolkata,Banglore,1,960,6,12,2019,20,0,12,0,13,6,2019
SpiceJet,Kolkata,Banglore,0,150,24,5,2019,17,10,19,40,24,5,2019
Jet Airways,Delhi,Cochin,1,550,3,6,2019,19,15,4,25,3,7,2019
Jet Airways,Kolkata,Banglore,1,1150,21,5,2019,21,10,16,20,22,5,2019
Jet Airways,Banglore,Delhi,0,180,5,1,2019,17,45,20,45,5,1,2019
Air Asia,Kolkata,Banglore,0,155,24,3,2019,10,20,12,55,24,3,2019
Multiple carriers,Delhi,Cochin,1,615,27,6,2019,15,15,1,30,28,6,2019
Air Asia,Delhi,Cochin,1,870,6,6,2019,7,55,22,25,6,6,2019
Multiple carriers,Delhi,Cochin,1,465,5,9,2019,11,30,19,15,5,9,2019
Air India,Kolkata,Banglore,1,965,5,9,2019,19,0,11,5,5,10,2019
IndiGo,Banglore,Delhi,0,170,4,6,2019,13,0,15,50,4,6,2019
Jet Airways,Banglore,Delhi,0,175,6,9,2019,11,10,14,5,6,9,2019
Air India,Banglore,Delhi,0,165,6,1,2019,17,0,19,45,6,1,2019
Jet Airways,Delhi,Cochin,2,810,21,5,2019,23,5,12,35,22,5,2019
SpiceJet,Mumbai,Hyderabad,0,90,18,6,2019,5,45,7,15,18,6,2019
IndiGo,Kolkata,Banglore,0,150,4,12,2019,15,15,17,45,4,12,2019
Multiple carriers,Delhi,Cochin,1,480,5,6,2019,13,0,21,0,5,6,2019
Jet Airways,Delhi,Cochin,1,1210,6,1,2019,22,50,19,0,6,2,2019
Jet Airways,Banglore,Delhi,0,180,27,6,2019,8,20,11,20,27,6,2019
Multiple carriers,Delhi,Cochin,1,600,15,5,2019,9,0,19,0,15,5,2019
Air India,Banglore,Delhi,0,165,18,6,2019,10,0,12,45,18,6,2019
Jet Airways,Banglore,Delhi,0,165,4,1,2019,6,0,8,45,4,1,2019
Air India,Banglore,Delhi,1,1520,3,9,2019,22,0,23,20,13,3,2019
Multiple carriers,Delhi,Cochin,1,795,3,6,2019,6,0,19,15,3,6,2019
IndiGo,Mumbai,Hyderabad,0,90,15,3,2019,16,55,18,25,15,3,2019
Air Asia,Delhi,Cochin,1,660,3,9,2019,20,10,7,10,3,10,2019
Jet Airways,Delhi,Cochin,1,1015,6,6,2019,11,30,4,25,6,7,2019
Multiple carriers,Delhi,Cochin,1,890,27,3,2019,4,0,18,50,27,3,2019
Air India,Banglore,Delhi,1,495,3,3,2019,0,30,8,45,3,3,2019
IndiGo,Banglore,Delhi,0,170,15,5,2019,20,0,22,50,15,5,2019
GoAir,Banglore,Delhi,0,175,5,12,2019,7,45,10,40,5,12,2019
Multiple carriers,Delhi,Cochin,1,455,6,1,2019,14,55,22,30,6,1,2019
Air India,Delhi,Cochin,2,2240,3,3,2019,5,55,19,15,3,4,2019
IndiGo,Banglore,Delhi,0,170,4,1,2019,8,30,11,20,4,1,2019
Vistara,Delhi,Cochin,0,190,6,6,2019,6,0,9,10,6,6,2019
Jet Airways,Banglore,Delhi,0,165,6,9,2019,6,0,8,45,6,9,2019
Air India,Delhi,Cochin,2,2295,5,9,2019,5,0,19,15,5,10,2019
Jet Airways,Banglore,Delhi,0,180,6,1,2019,7,10,10,10,6,1,2019
Air India,Delhi,Cochin,1,615,6,12,2019,9,0,19,15,6,12,2019
Jet Airways,Banglore,Delhi,0,175,5,9,2019,15,15,18,10,5,9,2019
Air India,Delhi,Cochin,1,1590,21,3,2019,20,30,23,0,22,3,2019
IndiGo,Delhi,Cochin,0,195,5,12,2019,5,35,8,50,5,12,2019
Jet Airways,Kolkata,Banglore,1,685,4,1,2019,8,25,19,50,4,1,2019
Jet Airways,Kolkata,Banglore,1,450,5,1,2019,21,10,4,40,5,2,2019
Jet Airways,Banglore,Delhi,1,380,21,3,2019,8,55,15,15,21,3,2019
Vistara,Banglore,Delhi,0,175,3,3,2019,21,10,0,5,3,4,2019
Jet Airways,Delhi,Cochin,1,300,15,6,2019,14,0,19,0,15,6,2019
SpiceJet,Delhi,Cochin,1,295,27,5,2019,17,55,22,50,27,5,2019
Jet Airways,Banglore,Delhi,1,615,21,3,2019,8,55,19,10,21,3,2019
Jet Airways,Delhi,Cochin,2,535,6,3,2019,19,30,4,25,6,4,2019
Vistara,Kolkata,Banglore,1,1550,5,12,2019,17,0,18,50,13,5,2019
Multiple carriers,Delhi,Cochin,1,910,6,1,2019,10,20,1,30,6,2,2019
IndiGo,Banglore,Delhi,0,165,24,6,2019,6,5,8,50,24,6,2019
IndiGo,Delhi,Cochin,1,570,3,3,2019,11,30,21,0,3,3,2019
Air India,Delhi,Cochin,1,1535,6,9,2019,5,15,6,50,6,10,2019
Air India,Delhi,Cochin,0,185,27,6,2019,18,5,21,10,27,6,2019
